state,company,model,year,original_price,accident_score,repair_cost,km_driven,fuel_type,resale_price
Lakshadweep,Maruti Suzuki,Ertiga,2020,1130000,2,3500,12104,Petrol,923000
Kerala,Maruti Suzuki,Dzire,2013,771000,6,138500,124196,Diesel,204000
Uttarakhand,Honda,City,2021,1388000,1,2900,146405,Petrol,941000
Assam,Maruti Suzuki,Baleno,2010,773000,3,20600,167879,Petrol,295000
Haryana,MG,Hector,2014,1880000,6,94000,206037,Petrol,193000
Karnataka,Honda,City,2014,1433000,7,154000,155941,Petrol,385000
Meghalaya,Hyundai,Venue,2019,1216000,2,4600,216164,Petrol,548000
West Bengal,Toyota,Fortuner,2015,4007000,7,178500,8316,Petrol,2071000
Telangana,Volkswagen,Polo,2012,806000,9,403200,197360,Petrol,82000
Lakshadweep,Volkswagen,Virtus,2021,1373000,5,26100,160313,Petrol,672000
Goa,Honda,Amaze,2017,831000,10,415400,154382,Petrol,82000
Delhi,Toyota,Fortuner,2015,3985000,5,27300,214146,Diesel,1409000
Nagaland,Skoda,Kushaq,2013,1507000,4,31600,27442,Diesel,408000
Meghalaya,Volkswagen,Polo,2017,957000,1,800,212862,Petrol,319000
Meghalaya,Honda,Elevate,2017,1537000,9,280200,150089,Diesel,344000
Puducherry,Toyota,Innova Crysta,2014,2652000,5,20100,85379,Petrol,1521000
Rajasthan,Hyundai,Creta,2021,1361000,5,43600,131929,Diesel,764000
Madhya Pradesh,Honda,City,2014,1342000,9,166400,8708,Diesel,318000
Bihar,Skoda,Slavia,2012,1483000,8,76900,172213,Petrol,149000
Dadra and Nagar Haveli and Daman and Diu,Volkswagen,Virtus,2010,1333000,8,79900,71185,Petrol,140000
Chhattisgarh,MG,Hector,2022,1701000,5,10600,152545,Petrol,861000
Uttarakhand,MG,Hector,2016,2057000,8,127900,123099,Diesel,322000
Bihar,MG,Hector,2013,2155000,4,22300,168975,Petrol,387000
Kerala,Skoda,Kushaq,2016,1345000,10,346400,123096,Diesel,128000
Odisha,Honda,Elevate,2011,1662000,4,22300,185193,Petrol,519000
Lakshadweep,Mahindra,XUV700,2023,2357000,2,500,42286,Petrol,2090000
Odisha,Volkswagen,Taigun,2014,1486000,7,121400,188430,Diesel,148000
Assam,Kia,Carens,2014,1325000,2,1900,11780,Petrol,714000
Nagaland,MG,Hector,2012,2050000,9,441600,128338,Diesel,214000
Kerala,MG,Astor,2017,1457000,8,141200,28918,Diesel,365000
Gujarat,Tata,Harrier,2017,1947000,7,194200,80554,Petrol,748000
Rajasthan,Honda,Amaze,2022,796000,9,100600,110952,Petrol,390000
Madhya Pradesh,Skoda,Slavia,2017,1452000,8,63500,168947,Petrol,301000
Himachal Pradesh,Honda,Amaze,2017,1003000,1,5000,36831,Petrol,687000
Punjab,Skoda,Kushaq,2011,1524000,2,3800,63903,Petrol,482000
Jharkhand,Volkswagen,Polo,2021,844000,7,176500,76676,Petrol,373000
Puducherry,Tata,Safari,2019,1996000,3,9600,138232,Diesel,972000
Uttarakhand,Toyota,Urban Cruiser Hyryder,2010,1488000,5,43500,79144,Diesel,576000
Andaman and Nicobar Islands,Skoda,Slavia,2018,1335000,9,297800,204982,Diesel,139000
Madhya Pradesh,Mahindra,Bolero,2022,920000,1,2600,112682,Diesel,672000
Tripura,Kia,Carens,2020,1523000,8,59700,44873,Petrol,882000
Sikkim,Hyundai,Verna,2017,1144000,3,31900,9023,Petrol,640000
Mizoram,Toyota,Urban Cruiser Hyryder,2020,1692000,6,189900,26054,Diesel,1121000
Delhi,Skoda,Kushaq,2013,1553000,5,19900,170455,Petrol,312000
Gujarat,Hyundai,Verna,2014,1170000,1,400,241827,Diesel,327000
Odisha,Toyota,Innova Crysta,2013,2448000,7,198400,144242,Petrol,938000
Goa,MG,Astor,2013,1450000,10,175000,135460,Petrol,144000
Mizoram,Volkswagen,Virtus,2022,1470000,5,49400,126963,Petrol,801000
Tamil Nadu,MG,Astor,2016,1458000,5,34900,185961,Diesel,226000
Tripura,Volkswagen,Taigun,2019,1382000,10,255100,99098,Diesel,307000
Uttar Pradesh,Honda,City,2020,1428000,1,5000,209029,Diesel,751000
Odisha,Mahindra,Scorpio-N,2013,1740000,5,49400,167762,Petrol,487000
Assam,Honda,Amaze,2015,774000,3,10900,196983,Petrol,292000
Uttarakhand,Tata,Tiago,2018,578000,6,189200,234758,Petrol,60000
Mizoram,Volkswagen,Virtus,2015,1504000,2,3800,215824,Petrol,373000
Manipur,Kia,Carens,2022,1344000,1,2200,108435,Petrol,1003000
Mizoram,MG,Astor,2015,1535000,4,35900,33402,Petrol,530000
Puducherry,Toyota,Urban Cruiser Hyryder,2011,1466000,8,129200,171567,Diesel,327000
Assam,Maruti Suzuki,Dzire,2011,919000,4,40200,30478,Petrol,378000
Telangana,Skoda,Slavia,2021,1437000,7,76000,45507,Diesel,805000
Nagaland,Maruti Suzuki,Dzire,2017,732000,6,76000,66895,Diesel,347000
Tamil Nadu,Maruti Suzuki,Ertiga,2011,1026000,8,74000,227306,Petrol,163000
Arunachal Pradesh,Maruti Suzuki,Dzire,2012,738000,10,207600,211301,Petrol,76000
Puducherry,Mahindra,XUV700,2013,2297000,3,44100,91129,Petrol,939000
Jharkhand,Tata,Harrier,2011,2179000,1,1100,178292,Petrol,680000
Meghalaya,MG,Astor,2014,1197000,3,32600,18736,Petrol,399000
Dadra and Nagar Haveli and Daman and Diu,Volkswagen,Virtus,2011,1406000,9,216200,123490,Petrol,144000
Ladakh,Honda,Amaze,2010,939000,8,155300,20945,Petrol,187000
Delhi,Volkswagen,Taigun,2015,1680000,3,9300,164461,Petrol,505000
Puducherry,Toyota,Innova Crysta,2018,2871000,8,182500,82305,Diesel,1364000
Haryana,Skoda,Octavia,2016,3329000,4,32100,123372,Diesel,1119000
Uttar Pradesh,Kia,Carens,2016,1230000,5,29500,86926,Petrol,610000
Dadra and Nagar Haveli and Daman and Diu,Hyundai,i20,2011,990000,2,3100,118213,Petrol,419000
Puducherry,Skoda,Slavia,2016,1471000,7,63500,97693,Diesel,404000
Tamil Nadu,Hyundai,Creta,2017,1345000,2,2900,63784,Diesel,744000
Nagaland,MG,Hector,2023,2075000,10,421700,152053,Petrol,777000
Nagaland,Maruti Suzuki,Baleno,2022,792000,6,142000,85998,Petrol,452000
Jharkhand,MG,Astor,2021,1219000,1,800,170982,Petrol,652000
Chandigarh,Toyota,Fortuner,2021,3844000,10,412600,90035,Petrol,2060000
Jharkhand,Tata,Nexon,2014,1263000,7,177300,121159,Diesel,228000
Maharashtra,Skoda,Kushaq,2011,1430000,10,355100,79251,Diesel,137000
Uttar Pradesh,MG,Hector,2014,1619000,3,21700,60373,Diesel,465000
Andhra Pradesh,Volkswagen,Polo,2012,881000,9,440600,104669,Petrol,88000
Tamil Nadu,Hyundai,Verna,2010,1441000,1,3800,119352,Petrol,626000
West Bengal,MG,Astor,2016,1488000,2,3300,80894,Petrol,690000
Karnataka,MG,Astor,2015,1539000,7,77800,28102,Petrol,386000
Uttar Pradesh,Skoda,Kushaq,2014,1453000,6,108100,200508,Diesel,149000
Chhattisgarh,Skoda,Octavia,2018,2653000,6,142000,55830,Petrol,1174000
Jharkhand,Honda,City,2012,1263000,2,1500,204285,Diesel,370000
Andaman and Nicobar Islands,MG,Astor,2020,1553000,3,33800,87873,Petrol,856000
Punjab,Honda,Elevate,2018,1300000,5,35300,24448,Diesel,688000
Telangana,Honda,City,2023,1461000,10,411500,28670,Diesel,788000
Puducherry,Maruti Suzuki,Ertiga,2019,1235000,4,26100,175875,Diesel,568000
Bihar,Volkswagen,Taigun,2023,1640000,2,4100,95030,Petrol,1199000
Andaman and Nicobar Islands,Volkswagen,Polo,2012,906000,6,124200,100393,Petrol,156000
Sikkim,MG,Hector,2020,2065000,2,2700,92726,Petrol,1207000
Tripura,Honda,Amaze,2020,960000,10,178800,242592,Petrol,161000
Jharkhand,Toyota,Innova Crysta,2021,2851000,7,83800,178574,Petrol,1390000
Tripura,Toyota,Fortuner,2023,4204000,9,149000,198665,Diesel,1890000
Arunachal Pradesh,Toyota,Innova Crysta,2013,2260000,8,100300,94583,Petrol,1047000
Jharkhand,Hyundai,Venue,2011,1214000,9,487300,138087,Petrol,123000
Himachal Pradesh,MG,Astor,2012,1255000,10,186800,222932,Diesel,120000
Telangana,Mahindra,Bolero,2022,1033000,8,111300,201224,Petrol,379000
Dadra and Nagar Haveli and Daman and Diu,Mahindra,Scorpio-N,2019,2002000,8,123900,120499,Diesel,732000
Uttarakhand,Tata,Tiago,2012,709000,5,8400,233852,Petrol,104000
Puducherry,Hyundai,i20,2022,842000,5,34400,47024,Petrol,629000
Goa,Mahindra,Bolero,2010,1115000,1,3200,113762,Diesel,363000
Goa,Toyota,Fortuner,2011,3434000,6,88300,224985,Petrol,1008000
Dadra and Nagar Haveli and Daman and Diu,Tata,Safari,2010,2166000,2,200,242465,Diesel,279000
Jharkhand,Skoda,Octavia,2016,3098000,5,20600,34146,Diesel,1094000
Meghalaya,Kia,Carens,2017,1523000,2,4100,21464,Petrol,960000
Meghalaya,Tata,Harrier,2019,1958000,4,42400,97488,Diesel,952000
Goa,Skoda,Slavia,2018,1218000,9,366100,147627,Petrol,150000
Dadra and Nagar Haveli and Daman and Diu,Maruti Suzuki,Ertiga,2014,1259000,1,2900,200904,Petrol,553000
Gujarat,MG,Astor,2015,1246000,6,95900,148134,Diesel,179000
Dadra and Nagar Haveli and Daman and Diu,Tata,Tiago,2022,565000,1,2400,124977,Petrol,380000
Madhya Pradesh,Maruti Suzuki,Dzire,2018,904000,9,348200,109392,Diesel,192000
Madhya Pradesh,Honda,Amaze,2010,998000,6,121600,231963,Petrol,133000
West Bengal,Kia,Carens,2016,1375000,3,37500,93876,Diesel,644000
Ladakh,Honda,City,2011,1495000,10,194600,117881,Diesel,187000
Goa,Toyota,Urban Cruiser Hyryder,2017,1502000,7,93700,162973,Diesel,559000
Assam,Toyota,Urban Cruiser Hyryder,2014,1839000,1,600,172633,Diesel,888000
Karnataka,Maruti Suzuki,Baleno,2020,939000,8,59100,209816,Petrol,317000
Telangana,Toyota,Innova Crysta,2010,2837000,3,49500,163621,Diesel,1167000
Telangana,Volkswagen,Taigun,2018,1533000,7,132400,101193,Diesel,468000
Haryana,Maruti Suzuki,Baleno,2016,850000,9,161700,244479,Petrol,106000
Andaman and Nicobar Islands,Mahindra,Scorpio-N,2017,2011000,2,1100,57475,Petrol,1199000
Andaman and Nicobar Islands,Hyundai,Venue,2021,1155000,9,384300,22023,Diesel,526000
Karnataka,Tata,Harrier,2011,2005000,3,20500,57685,Diesel,541000
Puducherry,MG,Astor,2018,1386000,10,145200,39018,Petrol,395000
Dadra and Nagar Haveli and Daman and Diu,Skoda,Slavia,2023,1513000,2,1000,155706,Diesel,1022000
Andaman and Nicobar Islands,Volkswagen,Polo,2012,905000,9,435400,235151,Petrol,93000
Himachal Pradesh,Kia,Carens,2010,1572000,2,4200,222944,Petrol,416000
Karnataka,Toyota,Urban Cruiser Hyryder,2018,1468000,5,10200,239599,Diesel,516000
Puducherry,Honda,City,2019,1453000,2,4100,144848,Petrol,857000
Jharkhand,Tata,Harrier,2019,2206000,1,700,15798,Petrol,1603000
Mizoram,Mahindra,Bolero,2010,1035000,9,251900,135557,Diesel,103000
Uttar Pradesh,Honda,Amaze,2010,785000,8,159000,46439,Petrol,138000
Sikkim,MG,Hector,2021,1793000,6,154500,88706,Petrol,915000
Jammu and Kashmir,Skoda,Kushaq,2017,1419000,5,34500,37118,Petrol,610000
Bihar,Honda,Amaze,2016,998000,3,26500,70082,Petrol,554000
Karnataka,Volkswagen,Polo,2014,891000,1,700,135382,Petrol,340000
Meghalaya,Mahindra,Scorpio-N,2014,1643000,10,443000,134733,Diesel,161000
Andhra Pradesh,Hyundai,Verna,2014,1157000,6,155700,195711,Diesel,164000
Bihar,MG,Hector,2014,1822000,7,182200,24275,Diesel,278000
Nagaland,MG,Hector,2011,1688000,6,138900,108259,Diesel,173000
Madhya Pradesh,MG,Astor,2010,1400000,3,26800,15201,Diesel,237000
Jharkhand,MG,Hector,2019,1802000,3,30800,88500,Diesel,863000
Jammu and Kashmir,Skoda,Octavia,2019,2991000,8,54400,83588,Diesel,1145000
Haryana,Kia,Carens,2021,1319000,1,4900,233615,Diesel,640000
Manipur,Maruti Suzuki,Ertiga,2020,991000,10,299300,194053,Petrol,212000
Meghalaya,Maruti Suzuki,Swift,2017,635000,7,89700,87232,Petrol,292000
Uttarakhand,Skoda,Octavia,2023,3378000,1,1100,227396,Petrol,2018000
Dadra and Nagar Haveli and Daman and Diu,Skoda,Slavia,2012,1322000,9,279500,125498,Diesel,135000
Mizoram,MG,Astor,2013,1271000,9,256500,78139,Petrol,133000
Punjab,Honda,Elevate,2021,1368000,6,175800,133189,Diesel,652000
Nagaland,Honda,City,2018,1431000,7,140500,104534,Petrol,625000
Odisha,Hyundai,Venue,2020,1240000,8,106100,72225,Petrol,659000
Nagaland,Skoda,Octavia,2011,2794000,10,225500,166396,Petrol,267000
Ladakh,Mahindra,XUV700,2016,1818000,8,76400,91584,Petrol,641000
Puducherry,Tata,Safari,2017,2301000,4,23800,130160,Diesel,872000
Bihar,Hyundai,Creta,2021,1516000,1,1400,227909,Diesel,798000
Kerala,Maruti Suzuki,Ertiga,2012,1195000,5,7500,201346,Petrol,369000
Gujarat,Toyota,Innova Crysta,2020,2466000,9,359000,147422,Petrol,1060000
Chandigarh,Honda,City,2015,1530000,8,117400,47596,Petrol,564000
Sikkim,Honda,Elevate,2013,1578000,10,434900,51004,Diesel,187000
Jammu and Kashmir,Toyota,Fortuner,2011,3881000,3,36300,53439,Diesel,1858000
Andhra Pradesh,Honda,Amaze,2022,829000,6,129200,74990,Petrol,491000
Telangana,Mahindra,Thar,2017,1681000,3,31600,85427,Diesel,851000
Odisha,Toyota,Urban Cruiser Hyryder,2012,1466000,3,34800,130352,Diesel,673000
Puducherry,Volkswagen,Polo,2023,982000,4,49600,62255,Petrol,730000
Ladakh,Toyota,Fortuner,2011,4501000,9,365000,21189,Petrol,1576000
Jharkhand,Tata,Harrier,2017,2213000,4,43200,35471,Diesel,1004000
Jammu and Kashmir,Volkswagen,Taigun,2018,1479000,8,197800,113901,Petrol,422000
Punjab,Maruti Suzuki,Ertiga,2010,1019000,4,42900,200508,Petrol,293000
Tamil Nadu,Hyundai,i20,2011,1017000,8,58300,249783,Diesel,101000
Himachal Pradesh,Kia,Sonet,2016,1377000,7,148500,122581,Petrol,479000
Lakshadweep,Tata,Harrier,2018,1771000,9,166800,108037,Petrol,600000
Arunachal Pradesh,Honda,Amaze,2018,947000,9,298800,116182,Petrol,249000
Tamil Nadu,Tata,Harrier,2021,1813000,2,300,205668,Diesel,899000
Arunachal Pradesh,Mahindra,XUV700,2019,1827000,8,62800,13801,Petrol,978000
Uttar Pradesh,Volkswagen,Taigun,2022,1518000,1,1100,231421,Diesel,754000
Rajasthan,MG,Astor,2012,1289000,9,215900,178070,Diesel,126000
Bihar,Skoda,Octavia,2012,3342000,7,195700,169100,Diesel,319000
Tamil Nadu,Kia,Carens,2016,1324000,3,24700,112022,Diesel,580000
Lakshadweep,Volkswagen,Taigun,2014,1657000,3,35300,229799,Petrol,299000
Uttarakhand,Skoda,Octavia,2013,2671000,4,26600,71845,Petrol,890000
Telangana,Hyundai,Creta,2016,1298000,10,416100,181599,Petrol,135000
Madhya Pradesh,MG,Hector,2023,1888000,6,129500,242773,Petrol,736000
Madhya Pradesh,Hyundai,Verna,2021,1462000,4,31000,163440,Petrol,800000
Odisha,Kia,Sonet,2015,1212000,5,28600,85851,Diesel,494000
Dadra and Nagar Haveli and Daman and Diu,Toyota,Fortuner,2016,3845000,10,216000,16984,Petrol,1713000
Puducherry,MG,Astor,2013,1314000,4,29900,91472,Petrol,352000
Sikkim,Honda,Amaze,2020,1026000,8,170800,198880,Petrol,316000
Tamil Nadu,Tata,Tiago,2017,693000,9,346500,53247,Petrol,105000
Chhattisgarh,Maruti Suzuki,Swift,2023,682000,4,9500,170334,Petrol,407000
Jammu and Kashmir,Volkswagen,Virtus,2020,1215000,10,353300,179785,Diesel,122000
Lakshadweep,Skoda,Slavia,2018,1195000,5,40100,194318,Diesel,284000
West Bengal,Tata,Nexon,2018,1350000,4,17600,44032,Diesel,731000
Nagaland,Kia,Seltos,2016,1539000,10,227500,125323,Petrol,366000
Goa,Maruti Suzuki,Swift,2016,680000,8,64700,149887,Petrol,233000
Goa,Volkswagen,Virtus,2015,1461000,2,4300,153335,Petrol,498000
Dadra and Nagar Haveli and Daman and Diu,Honda,City,2020,1578000,5,40600,247636,Petrol,570000
Rajasthan,Maruti Suzuki,Baleno,2022,872000,7,70200,220139,Petrol,347000
Meghalaya,MG,Astor,2018,1474000,7,86700,91960,Petrol,502000
Tamil Nadu,Maruti Suzuki,Swift,2023,687000,6,154000,24927,Petrol,452000
Nagaland,Volkswagen,Virtus,2018,1286000,7,98700,103415,Diesel,387000
Odisha,Mahindra,Thar,2012,1399000,3,30500,104614,Diesel,457000
Goa,Maruti Suzuki,Dzire,2022,787000,2,1100,75717,Petrol,605000
Andaman and Nicobar Islands,Skoda,Octavia,2011,3011000,2,2900,11884,Petrol,951000
Rajasthan,Kia,Seltos,2016,1500000,2,4600,209254,Petrol,588000
Karnataka,Kia,Seltos,2014,1427000,8,88300,75361,Petrol,459000
Nagaland,Kia,Sonet,2011,1194000,5,21200,99666,Diesel,338000
Madhya Pradesh,Volkswagen,Taigun,2010,1336000,6,149600,108728,Diesel,133000
West Bengal,MG,Hector,2019,1786000,4,36400,187266,Diesel,518000
Uttar Pradesh,Toyota,Innova Crysta,2020,2676000,10,227100,133714,Diesel,1074000
Uttar Pradesh,Toyota,Fortuner,2013,4518000,9,194300,160248,Petrol,1612000
Chandigarh,Mahindra,Bolero,2023,1089000,2,3400,186622,Diesel,665000
Punjab,Mahindra,Scorpio-N,2021,1990000,7,69400,115920,Diesel,1034000
Dadra and Nagar Haveli and Daman and Diu,MG,Astor,2023,1414000,7,192500,186327,Petrol,622000
Telangana,Skoda,Octavia,2011,3124000,4,48100,33670,Diesel,637000
Assam,MG,Astor,2015,1596000,7,77800,213727,Petrol,153000
Manipur,Skoda,Octavia,2019,3017000,10,215900,185267,Diesel,478000
Chandigarh,MG,Hector,2010,1812000,2,2400,131555,Diesel,383000
Goa,Hyundai,Creta,2015,1432000,4,39200,124362,Diesel,536000
Gujarat,Volkswagen,Polo,2015,953000,5,7900,22609,Petrol,334000
Sikkim,Hyundai,Creta,2021,1693000,9,191500,68940,Petrol,858000
West Bengal,Volkswagen,Taigun,2020,1634000,3,47000,53352,Diesel,972000
Madhya Pradesh,Volkswagen,Polo,2010,881000,4,18500,189742,Petrol,136000
Chhattisgarh,MG,Hector,2018,2071000,6,135500,54010,Petrol,846000
Mizoram,Volkswagen,Polo,2015,1026000,7,152900,161492,Petrol,142000
Chandigarh,MG,Hector,2021,2079000,5,45300,214875,Petrol,773000
Rajasthan,Hyundai,Creta,2012,1412000,3,38500,102859,Diesel,497000
Himachal Pradesh,MG,Astor,2017,1368000,9,463600,171592,Petrol,138000
Delhi,Honda,City,2023,1269000,10,128100,123227,Diesel,649000
Delhi,Tata,Tiago,2018,711000,8,157300,137497,Petrol,173000
Andaman and Nicobar Islands,Volkswagen,Taigun,2010,1312000,4,24100,213635,Petrol,149000
Lakshadweep,Honda,City,2019,1518000,8,194100,199646,Petrol,444000
Nagaland,Skoda,Slavia,2022,1418000,8,193200,15907,Petrol,897000
Gujarat,Mahindra,Scorpio-N,2010,2114000,5,27800,122894,Petrol,596000
Haryana,Mahindra,XUV700,2019,2296000,6,162200,185652,Petrol,815000
Maharashtra,Mahindra,Thar,2018,1634000,10,382500,78684,Petrol,478000
Odisha,Honda,Elevate,2023,1395000,2,1100,139850,Diesel,1039000
Nagaland,Tata,Tiago,2021,601000,4,49300,89435,Petrol,360000
Nagaland,Kia,Sonet,2020,1183000,2,3300,213299,Diesel,557000
Telangana,Volkswagen,Virtus,2010,1327000,2,3800,232778,Diesel,139000
Lakshadweep,Kia,Seltos,2023,1825000,8,120400,60535,Diesel,1218000
Sikkim,Skoda,Octavia,2023,2668000,6,62700,132228,Petrol,1536000
Chandigarh,Maruti Suzuki,Swift,2012,790000,8,50200,120680,Petrol,255000
Himachal Pradesh,Honda,City,2014,1557000,6,115600,29468,Petrol,624000
Karnataka,Maruti Suzuki,Ertiga,2021,1141000,4,33100,188354,Petrol,618000
Andhra Pradesh,Mahindra,Bolero,2019,873000,9,436700,64294,Diesel,171000
Sikkim,Hyundai,Verna,2017,1376000,4,30100,23567,Petrol,792000
Gujarat,Hyundai,Venue,2014,1056000,7,84900,40947,Petrol,352000
Andhra Pradesh,MG,Hector,2021,1866000,3,32000,60851,Diesel,1206000
Goa,Hyundai,Creta,2019,1614000,7,142200,196367,Diesel,447000
Himachal Pradesh,Mahindra,Scorpio-N,2013,1982000,10,414600,150069,Diesel,204000
Arunachal Pradesh,Honda,City,2018,1407000,7,127500,54452,Petrol,748000
Meghalaya,Volkswagen,Virtus,2017,1237000,10,137200,172269,Petrol,161000
Rajasthan,Tata,Safari,2019,2438000,6,193200,115326,Petrol,1084000
Chhattisgarh,Maruti Suzuki,Swift,2013,598000,1,3300,15440,Petrol,343000
Jammu and Kashmir,Kia,Sonet,2011,1273000,9,381900,172913,Petrol,124000
Punjab,Hyundai,Creta,2012,1713000,6,152400,145611,Petrol,451000
West Bengal,Mahindra,Thar,2016,1477000,8,64400,35405,Diesel,509000
Kerala,Hyundai,i20,2021,956000,3,37500,7975,Diesel,704000
Mizoram,Tata,Harrier,2022,1776000,5,12700,233972,Petrol,769000
West Bengal,Honda,Elevate,2021,1304000,2,4100,156165,Diesel,785000
Bihar,Volkswagen,Polo,2012,810000,2,4700,71877,Petrol,268000
Jammu and Kashmir,Maruti Suzuki,Swift,2010,775000,1,3900,69107,Petrol,372000
Jharkhand,Tata,Nexon,2021,1219000,7,108900,199161,Diesel,393000
Rajasthan,Honda,City,2011,1430000,1,1500,136607,Petrol,691000
Assam,Kia,Seltos,2023,1781000,5,26400,79005,Petrol,1305000
Andhra Pradesh,Toyota,Fortuner,2022,3750000,10,227200,84668,Diesel,2036000
Delhi,Mahindra,XUV700,2016,1880000,4,40500,11267,Diesel,858000
Andhra Pradesh,Toyota,Fortuner,2016,4311000,5,11800,227561,Petrol,1724000
Meghalaya,Kia,Sonet,2012,1366000,5,11100,191555,Petrol,377000
Ladakh,Kia,Carens,2017,1566000,2,4800,201057,Petrol,667000
Uttar Pradesh,Hyundai,i20,2012,882000,5,22100,67068,Diesel,282000
Uttar Pradesh,Toyota,Innova Crysta,2013,2465000,4,13900,24578,Petrol,1334000
